Part of speech,Rank,English translation,Russian word
adjective,741. ,"beautiful, fine",прекрасный 
noun,742. ,tear,слеза 
noun,743. ,hope,надежда 
adverb,744. ,"silently, without a word",молча 
adverb,745. ,strongly,сильно 
adjective,746. ,correct; faithful; reliable,верный 
noun,747. ,literature,литература 
noun,748. ,weapon,оружие 
adjective,749. ,ready,готовый 
noun,750. ,"smell, odour, scent",запах 
adverb,751. ,"unexpectedly, suddenly",неожиданно 
adverb,752. ,yesterday,вчера 
verb,753. ,"to take breath, to sigh",вздохнуть 
noun,754. ,role,роль 
noun,755. ,"growth, increase; height",рост 
noun,756. ,nature,природа 
adjective,757. ,political,политический 
noun,758. ,"dot, point",точка 
noun,759. ,star,звезда 
verb,760. ,to sing,петь 
verb,761. ,to sit down,садиться 
noun,762. ,surname,фамилия 
noun,763. ,"character, disposition, temper",характер 
misc,764. ,please,пожалуйста 
adverb,765. ,higher,выше 
noun,766. ,officer,офицер 
noun,767. ,crowd,толпа 
verb,768. ,"to stop, cease",перестать 
verb,769. ,"to fit, fall; have to",придтись 
noun,770. ,level,уровень 
adjective,771. ,unknown,неизвестный 
noun,772. ,armchair,кресло 
noun,773. ,"woman, wife, old woman, (See #911)",баба 
noun,774. ,a second,секунда 
verb,775. ,"to grant, bestow",пожаловать 
noun,776. ,bank,банк 
noun,777. ,experience,опыт 
adjective,778. ,"quiet, low, scelent",тихий 
misc,779. ,"so far as, since",поскольку 
noun,780. ,(high) boot,сапог 
noun,781. ,rule,правило 
noun,782. ,glass,стекло 
verb,783. ,"to receive, get (See #239)",получать 
adjective,784. ,"inside, internal",внутренний 
noun,785. ,daughter,дочь 
verb,786. ,to call oneself,называться 
verb,787. ,to hope,надеяться 
noun,788. ,"member, limb",член 
verb,789. ,"to stretch, extend",протянуть 
adjective,790. ,State,государственный 
noun,791. ,"ten, dozens",десяток 
adjective,792. ,deep,глубокий 
noun,793. ,flower,цветок 
misc,794. ,"ah!, oh!",ах 
noun,795. ,wish,желание 
noun,796. ,rain,дождь 
preposition,797. ,"before, in front of",впереди 
verb,798. ,"to come up, approach;to fit(See #361)",подходить 
adverb,799. ,"many, much, a lot of(See #187)",много 
noun,800. ,forehead,лоб 
Part of speech,Rank ,English translation  ,Russian word  
noun,801. ,smile,улыбка 
noun,802. ,"fight, struggle",борьба 
noun,803. ,collar,ворот 
noun,804. ,"box, case",ящик 
noun,805. ,"floor, storey",этаж 
verb,806. ,to serve,служить 
adverb,807. ,"again, once more",вновь 
adjective,808. ,"blue, sky-blue",голубой 
misc,809. ,"there is nothing, there is no need",нечего 
noun,810. ,revolution,революция 
adverb,811. ,for the first time,впервые 
noun,812. ,neighbour,сосед 
noun,813. ,sister,сестра 
adjective,814. ,long,долгий 
pronoun,815. ,whose,чей 
verb,816. ,to believe,поверить 
noun,817. ,situation,ситуация 
verb,818. ,"to look, give a glance",взглянуть 
adjective,819. ,weak,слабый 
noun,820. ,quantity,количество 
verb,821. ,"to call, send",вызывать (See #663) 
adjective,822. ,"confident, sure",уверенный 
noun,823. ,exit,выход 
noun,824. ,"advice; masterrussian, dot com",совет 
noun,825. ,"fool, idiot",дурак 
adjective,826. ,"dear, loved",любимый 
noun,827. ,"union, alliance; conjunction",союз 
noun,828. ,summer,лето 
verb,829. ,to expect,ожидать 
adjective,830. ,"alien, strange",пришлый 
verb,831. ,to hang,висеть 
noun,832. ,border,граница 
noun,833. ,"colour, color",цвет 
adjective,834. ,serious,серьезный 
verb,835. ,"to create, establish",создать 
adverb,836. ,interestingly,интересно 
noun,837. ,freedom,свобода 
conjunction,838. ,"but, but then",зато 
noun,839. ,chair,стул 
verb,840. ,"to leave, depart",уехать 
noun,841. ,train,поезд 
noun,842. ,music,музыка 
adjective,843. ,"quick, fast",быстрый 
noun,844. ,shadow,тень 
noun,845. ,horse,лошадь 
noun,846. ,field,поле 
verb,847. ,to look,выглядеть 
verb,848. ,"to study, learn",учиться 
adjective,849. ,left,левый 
verb,850. ,"to talk, speak",разговаривать 
adjective,851. ,"child's, children's",детский 
noun,852. ,"type, model",тип 
noun,853. ,"court, law-court",суд 
adjective,854. ,"related, connected, tied-up",связанный 
adjective,855. ,hot,горячий 
noun,856. ,"square, area",площадь 
verb,857. ,"to help, assist(See #736)",помогать 
adjective,858. ,happy,счастливый 
verb,859. ,to turn,повернуться 
verb,860. ,"to allow, permit",позволить 
verb,861. ,to meet,встретить 
noun,862. ,"gladness, joy",радость 
adjective,863. ,sharp; spicy,острый 
noun,864. ,age,возраст 
noun,865. ,"organ, body",орган 
noun,866. ,map,карта 
verb,867. ,"to enter, come in",входить 
verb,868. ,"to discover, find out",обнаружить 
noun,869. ,king,король 
noun,870. ,"glory, fame",слава 
noun,871. ,colonel,полковник 
adjective,872. ,"shallow, small",мелкий 
noun,873. ,"side, flank",бок 
noun,874. ,price,цена 
noun,875. ,information,информация 
noun,876. ,brain,мозг 
noun,877. ,pleasure,удовольствие 
noun,878. ,will,воля 
noun,879. ,"oblast, province; field",область 
noun,880. ,roof,крыша 
verb,881. ,to carry,нести 
adverb,882. ,"back, backwards",обратно 
adjective,883. ,"contemporary, modern, up-to-date",современный 
noun,884. ,"lady, partner, queen",дама 
cardinal number,885. ,seven,семь 
adjective,886. ,"cheerful, merry",веселый 
verb,887. ,to send,прислать 
noun,888. ,"garden, yard",сад 
noun,889. ,government,правительство 
adjective,890. ,"nice, sweet, dear",милый 
verb,891. ,"to treat, regard, relate",относиться 
verb,892. ,"to arise, appear(See #951)",возникать 
misc,893. ,"he says, they say, etc.",мол 
verb,894. ,to repeat,повторить 
noun,895. ,"name, title",название 
adjective,896. ,"average, middle",средний 
noun,897. ,example,пример 
adverb,898. ,impossible,невозможно 
noun,899. ,mirror,зеркало 
verb,900. ,"to perish, be killed",погибнуть 
Part of speech,Rank ,English translation  ,Russian word  
adjective,901. ,American,американский 
noun,902. ,smoke,дым 
verb,903. ,to burn,гореть 
verb,904. ,to cry,плакать 
adverb,905. ,"very, highly, greatly",весьма 
noun,906. ,fact,факт 
verb,907. ,to move,двигаться 
noun,908. ,fish,рыба 
verb,909. ,to add,добавить 
verb,910. ,"to wonder, be surprised",удивиться 
noun,911. ,grandmother(See #773),бабушка 
noun,912. ,wine,вино 
conjunction,913. ,for,ибо 
noun,914. ,"teacher, instructor",учитель 
verb,915. ,to act,действовать 
adverb,916. ,"carefully, cautiously",осторожно 
noun,917. ,"circle; masterrussian, dot com",круг 
noun,918. ,"dad, daddy(See #165)",папа 
adverb,919. ,"correctly, properly",правильно 
adverb,920. ,"recently, lately",недавно 
verb,921. ,"to hold on, behave",держаться 
adverb,922. ," moreover, and what's more",причем 
verb,923. ,to fly,лететь 
verb,924. ,to wear,носить 
noun,925. ,"occasion, reason; bridle",повод 
noun,926. ,camp,лагерь 
noun,927. ,bird,птица 
noun,928. ,ship,корабль 
noun,929. ,opinion,мнение 
adjective,930. ,night,ночной 
adjective,931. ,healthy,здоровый 
noun,932. ,winter,зима 
adjective,933. ,dry,сухой 
noun,934. ,"kilometre, kilometer",километр 
noun,935. ,bed,кровать 
verb,936. ,"to get used to, to grow accustomed to",привыкнуть 
pronoun,937. ,"et cetera, other",прочее 
adjective,938. ,free,свободный 
noun,939. ,staircase,лестница 
particle,940. ,"really, surely",неужели 
adverb,941. ,"without fail, be sure",обязательно 
adverb,942. ,"up, upwards",вверх 
noun,943. ,childhood,детство 
noun,944. ,island,остров 
noun,945. ,article,статья 
verb,946. ,"to call, to telephone",позвонить 
adverb,947. ,so,столь 
verb,948. ,"to interfere, prevent; mix",мешать 
noun,949. ,vodka,водка 
noun,950. ,darkness,темнота 
verb,951. ,"to arise, spring up(See #892)",возникнуть 
adjective,952. ,capable (of),способный 
noun,953. ,station,станция 
verb,954. ,to wish,желать 
verb,955. ,"to try, test",попробовать 
verb,956. ,to come out,получаться 
noun,957. ,citizen,гражданин 
adverb,958. ,strangely,странно 
adverb,959. ,"soon, shortly",вскоре 
adjective,960. ,interesting,интересный 
noun,961. ,team; command,команда 
noun,962. ,"disease, illness",заболевание 
noun,963. ,"stomach, belly",живот 
verb,964. ,"to put, place, set",ставить 
preposition,965. ,for the sake of,ради 
noun,966. ,"silence, stillness",тишина 
adverb,967. ,"clearly, plainly",понятно 
noun,968. ,front,фронт 
noun,969. ,cheek,щека 
adverb,970. ,"terribly, awfully",страшно 
noun,971. ,"area, region",район 
adverb,972. ,probably(See #461),наверно 
verb,973. ,"to lead, escort; accompany(See #713)",проводить 
noun,974. ,expression,выражение 
adverb,975. ,slightly,слегка 
noun,976. ,"bag, sack",мешок 
verb,977. ,to promise,обещать 
adjective,978. ,on the way,дорогой 
verb,979. ,"to judge, try",судить 
noun,980. ,majority,большинство 
verb,981. ,"to gather, collect(See #479)",собраться 
noun,982. ,"operation, control",управление 
verb,983. ,to prick,колоть 
adjective,984. ,wet,мокрый 
noun,985. ,order,приказ 
adjective,986. ,straight,прямой 
verb,987. ,"to shout, cry out",закричать 
verb,988. ,to end,кончиться 
noun,989. ,bush,куст 
verb,990. ,to shoot,стрелять 
noun,991. ,"painter, artist",художник 
noun,992. ,sign,знак 
noun,993. ,factory,завод 
noun,994. ,fist,кулак 
verb,995. ,"to use, utilize, make use of",использовать 
noun,996. ,glass,стакан 
verb,997. ,to smell,пахнуть 
adverb,998. ,from here,отсюда 
noun,999. ,mouth,рот 
misc,1000. ,"it's time;at times, now and then(See #279)",пора 
